" or "," o "
"Newsletter Received","Boletín informativo recibido"
"Newsletter Start","Inicio del boletín informativo"
"Newsletter Subscription","Suscripción al boletín informativo"
"Newsletters","Boletines informativos"
"No Items Found","No se encontraron artículos"
"No Newsletter Found","No se encontraron boletines informativos"
"No customer collections found","No se encontraron colecciones de clientes."
"No item specified.","No objeto especificado."
"Not Sent","No enviado"
"Not confirmed, can login","Sin confirmar. Puede iniciar sesión"
"Not confirmed, cannot login","Sin confirmar. No puede iniciar sesión"
"Number of Lines in a Street Address ","Cantidad de líneas de la dirección"
"Offline","Desconectado"
"Online","Conectado"
"Online Customers","Clientes conectados"
"Online Customers Options","Opciones para clientes conectados"
"Online Minutes Interval","Intervalo de minutos con conexión"
"Order #","Pedido nº"
"Order Total","Total del pedido"
"Orders","Pedidos"
"PDF","PDF"
"Password","Contraseña"
"Password Management","Gestionar contraseñas"
"Password Options","Opciones de contraseña"
"Password fields cannot be empty.","Rellene el campo contraseña."
"Password forgotten","Recordatorio de contraseña"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","La contraseña debe tener 6 carácteres como mínimo. Los espacios en blanco serán ignorados."
"Password:","Contraseña:"
"Paused","Detenido"
"Pending","Pendiente"
"Per Website","Por sitio web"
"Personal Information","Información personal"
"Please enter a number 1 or greater in this field.","Por favor, introduzca número 1 o mayor en este campo."
"Please enter a valid date between %s and %s at %s.","Por favor, introduzca una fecha válida entre %s y %s en %s."
"Please enter a valid date equal to or greater than %s at %s.","Por favor, introduzca una fecha válida igual o mayor que %s en %s."
"Please enter a valid date less than or equal to %s at %s.","Por favor, introduzca una fecha válida menor o igual que %s en %s."
"Please enter the city.","Por favor, introduzca la ciudad."
"Please enter the country.","Por favor, introduzca el país."
"Please enter the first name.","Por favor, introduzca el nombre."
"Please enter the last name.","Por favor, introduzca el apellido."
"Please enter the state/province.","Por favor, introduzca el estado/provincia."
"Please enter the street.","Por favor, introduzca la calle."
"Please enter the telephone number.","Por favor, introduzca el número de teléfono."
"Please enter the zip/postal code.","Por favor, introduzca el código postal."
"Please enter your email address below. You will receive a link to reset your password.","Por favor, introduzca su correo electrónico. Recibirá un enlace para restablecer su contraseña."
"Please enter your email below and we\'ll send you confirmation link for it.","Por favor, introduzca su dirección de correo electrónico y le enviaremos un enlace de confirmación."
"Please enter your email.","Por favor, introduzca su dirección de correo electrónico."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"Please select","Por favor, seleccione"
"Please select a website which contains store view","Por favor, seleccione un sitio web, que contiene una vista de tienda."
"Please select region, state or province","Por favor, seleccione una región, estado o provincia"
"Please, check your email for confirmation key.","Por favor, revise su correo electrónico y busque la clave de confirmación. Si dicho correo electrónico no aparece en su buzón de entrada, revise su carpeta de correo basura o equivalente (Spam/Bulk/Junk)."
"Prefix Dropdown Options","Opciones para listas desplegables con prefijo"
"Price","Precio"
"Product","Artículo"
"Product ID","ID de artículo"
"Product Name","Nombre del artículo"
"Product Reviews","Reseñas de artículo"
"Product Tags","Etiquetas de artículo"
"Purchase On","Comprado en "
"Purchased At","Comprado el"
"Purchased On","Comprado en"
"Qty","Cant."
"Recent Orders","Pedidos recientes"
"Records for %s store found.","Registros encontrado para la tienda %s."
"Recovery Link Expiration Period (days)","Periodo de caducidad del enlace de recuperación (en días)"
"Redirect Customer to Account Dashboard after Logging in","Redirigir a los clientes al Panel de Control de la cuenta después de iniciar sesión"
"Refunded","Reembolsado"
"Register","Registrarse"
"Registered Customers","Clientes registrados"
"Remind Email Template","Plantilla para el correo electrónico de recordatorio"
"Remind Password","Recordar contraseña"
"Remove","Eliminar"
"Remove address","Eliminar dirección"
"Require Emails Confirmation","Solicitar confirmación por correo electrónico"
"Require admin user to change user password","Usuario con derechos de administrador requerido para cambiar la contraseña del usuario"
"Reset a Password","Reinicializar contraseña"
"Retrieve address data","Recuperar datos de la dirección"
"Retrieve address info","Recuperar información de la dirección"
"Retrieve customer addresses","Recuperar direcciones del cliente"
"Retrieve customer data","Recuperar datos del cliente"
"Retrieve customer groups","Recuperar grupos del cliente"
"Retrieve customer info","Recuperar información del cliente"
"Retrieve customers","Recuperar clientes"
"Retrieve your confirmation link here","Recupere aquí su enlace de confirmación"
"Retrieve your password here","Recupere aquí su contraseña"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Sales Statistics","Estadísticas de ventas"
"Save","Guardar"
"Save Address","Guardar dirección"
"Save Customer","Guardar cliente"
"Save Customer Group","Guardar grupo de clientes"
"Save Password","Guardar contraseña"
"Save and Continue Edit","Guardar y continuar editando"
"Saved %d record(s)","%s registro(s) guardado(s)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valores separados por punto y coma (;).<br/>Coloque un punto y coma al comienzo para dejar la primera opción vacía.<br/>Deje el primer lugar vacío para crear un campo de texto abierto."
"Send Auto-Generated Password","Enviar la contraseña generada automáticamente"
"Send From","Enviar desde"
"Send Welcome Email","Enviar mensaje de correo electrónico de bienvenida"
"Send Welcome Email after Confirmation","Enviar mensaje de correo electrónico de bienvenida después de la confirmación"
"Send auto-generated password","Enviar contraseña autogenerada"
"Send confirmation link","Enviar enlace de confirmación"
"Sending","Enviando"
"Sent","Enviado"
"Session Start Time","Hora de inicio de la sesión"
"Set as Default Billing Address","Establecer como dirección de facturación predeterminada"
"Set as Default Shipping Address","Establecer como dirección de envío predeterminada"
"Share Customer Accounts","Compartir cuentas de cliente"
"Shipped to First Name","Enviado a Nombre"
"Shipped to Last Name","Enviado a Apellidos"
"Shipped to Name","Enviado a Nombre"
"Shopping Cart","Carrito de compras"
"Shopping Cart - %d item(s)","Carrito de compras - %d artículo(s)"
"Shopping Cart of %1$s - %2$d item(s)","Carrito de compras de %1$s a %2$s artículos"
"Show Date of Birth","Mostrar fecha de nacimiento"
"Show Gender","Mostrar sexo"
"Show Middle Name (initial)","Mostrar segundo nombre (inicial)"
"Show Prefix","Mostrar prefijo"
"Show Suffix","Mostrar sufijo"
"Show Tax/VAT Number","Mostrar número de IVA/impuestos"
"Show VAT Number on Frontend","Mostrar el número del IVA en el Frontend"
"Sign Up for Newsletter","Apuntarse al boletín informativo"
"Skipping import row, required field ""%s"" is not defined.","Omitir la importación de la fila. El campo requerido ""%s"" no está definido."
"Skipping import row, website ""%s"" field does not exist.","Omitir la importación de la fila. El campo del sitio web ""%s"" no existe."
"State/Province","Estado/Provincia"
"Status","Estado"
"Store","Tienda"
"Store View","Vista de tienda"
"Street Address","Calle"
"Street Address ","Calle"
"Street Address %s","Calle %s"
"Subject","Asunto"
"Submit","Enviar"
"Subscribe to Newsletter","Suscribirse al boletín informativo"
"Subscribed to Newsletter?","¿Está suscrito al boletín informativo?"
"Suffix Dropdown Options","Opciones para listas desplegables con sufijo"
"Tag Name","Nombre de la etiqueta"
"Tax Calculation Based On","Cálculo de impuestos basado en"
"Tax Class","Clase impositiva"
"Tax/VAT Number","Número de IVA/impuestos"
"Tax/VAT number","Número de IVA/impuestos"
"Telephone","Teléfono"
"Text","Texto"
"Text One Line","Texto en una línea"
"Thank you for registering with %s.","Gracias por registrarse en %s."
"The Date of Birth is required.","Se requiere la fecha de nacimiento."
"The TAX/VAT number is required.","Se requiere el número de IVA."
"The VAT ID entered (%s) is not a valid VAT ID.","El ID de IVA introducido (%s) no es un ID de IVA válido."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","El ID de IVA introducido (%s) no es un ID de IVA válido. El cliente podría pertenecer al grupo de clientes %s."
"The VAT ID is valid. The current Customer Group will be used.","El ID de IVA es válido. Se utilizará el grupo de cliente actual."
"The account information has been saved.","Se guardó la información de la cuenta."
"The address does not belong to this customer.","La dirección no pertenece a este cliente."
"The address has been deleted.","Se eliminó la dirección."
"The address has been saved.","Se guardó la dirección."
"The customer ID and email did not match, skipping the record, line: %s","El ID de cliente y el correo electrónico no coinciden, saltando el registro, línea: %s"
"The customer does not have default billing address.","El cliente no tiene una dirección de facturación predeterminada."
"The customer email (%s) already exists, skipping the record, line: %s","La dirección de correo (%s) del cliente ya existe, saltando el registro, línea: %s"
"The customer group has been deleted.","El grupo del cliente fue borrado."
"The customer group has been saved.","El grupo del cliente fue guardado."
"The customer is currently assigned to Customer Group %s.","El cliente está asignado actualmente al grupo de cliente %s."
"The first name cannot be empty.","Rellene el campo nombre."
"The group ""%s"" cannot be deleted","El grupo ""%s"" no puede ser borrado."
"The group ""%s"" cannot be deleted.","El grupo ""%s"" no puede ser borrado."
"The last name cannot be empty.","Rellene el campo apellidos."
"The minimum password length is %s","La longitud mínima de la contraseña es de %s."
"The password cannot be empty.","Rellene el campo contraseña."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","La contraseña debe tener al menos 6 caracteres. Se ignorarán los espacios antes o después."
"The suffix that goes after name (Jr., Sr., etc.)","El sufijo que va después de nombre (padre, hijo, etc.)"
"The title that goes before name (Mr., Mrs., etc.)","El título que va antes del nombre (señor, señorita, etc.)"
"There are no items in customer's wishlist at the moment","No hay artículos en la lista de deseos del cliente en este momento."
"There are no items in customer\'s shopping cart at the moment","No hay artículos en el carrito de la compra del cliente en este momento."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Ya existe una cuenta con esta dirección de correo electrónico. Si está seguro de que esa es su dirección de correo electrónico, <a href=""%s"">pulse aquí</a> para conseguir su contraseña y acceder a su cuenta."
"There was an error validating the VAT ID.","Ha habido un error validando el ID de IVA."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Ha habido un error validando el ID de IVA. El cliente podría pertenecer al grupo de cliente %s."
"This account is not confirmed.","Esta cuenta no está confirmada."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Esta cuenta no está confirmada. Haga <a href=""%s"">clic aquí</a> para solicitar de nuevo la confirmación por e-mail."
"This customer email already exists","Este correo electrónico de cliente ya existe."
"This customer email already exists.","Este correo electrónico de cliente ya existe."
"This customer has no saved addresses.","Este cliente no tiene direcciones guardadas."
"This email address was not found in our records","Esta dirección de correo electrónico no fue encontrada en los registros."
"This email does not require confirmation.","Este mensaje de correo electrónico no requiere confirmación."
"This email will be sent instead of default welcome email, after account confirmation.","Se enviará este mensaje de correo electrónico en lugar del mensaje de bienvenida predeterminado, después de la confirmación de la cuenta."
"This is My Default %s Address","Esta es mi principal %s dirección."
"This value must be greater than 0.","Este valor tiene que ser mayor que 0."
"To Cart","Al carrito"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Para mostrar el número del IVA en el Frontend, configure la opción „Mostrar número de IVA“ en el Backend a „Sí“."
"Total","Total"
"Type","Tipo"
"Unable to save the customer.","No se puede guardar el cliente."
"Unknown","Desconocido"
"Unsubscribe from Newsletter","Cancelar suscripción al boletín informativo"
"Update","Actualizar"
"Update customer address data","Actualizar datos de dirección del cliente"
"Update customer data","Actualizar datos del cliente"
"Use as My Default %s Address","Usar como mi dirección %s por defecto"
"Use as My Default Billing Address","Usar como mi dirección de facturación por defecto"
"Use as My Default Shipping Address","Usar como mi dirección de envíos por defecto"
"Use as my default billing address","Usar como mi dirección de facturación por defecto"
"Use as my default shipping address","Usar como mi dirección de envíos por defecto"
"VAT Number","Número de IVA"
"VAT Request Date","Fecha de petición de IVA"
"VAT Request Identifier","Identificador de petición de IVA"
"VAT number","Número de IVA"
"Validate VAT Number","Validar número de IVA"
"Validate on Each Transaction","Validar en cada transacción"
"Validation Error Group","Error de validación al grupo"
"View","Ver"
"View Order","Ver pedido"
"Visitor","Visitante"
"Visitors Only","Sólo para visitantes"
"Website","Sitio web"
"Welcome Email","Mensaje de correo electrónico de bienvenida"
"Wishlist","Lista de deseos"
"Wishlist - %d item(s)","Lista de deseos - %d artículo(s)"
"Would you like to change the Customer Group for this order?","¿Desea cambiar el grupo de clientes para este pedido?"
"Wrong confirmation key.","Clave de confirmación incorrecta."
"Wrong customer account specified.","Se especificó una cuenta de cliente incorrecta."
"Wrong email.","Se especificó una dirección de correo electrónico incorrecta."
"Wrong transactional account email type","Tipo de correo electrónico de cuenta de transacciones incorrecto."
"Wrong transactional account email type.","Tipo de correo electrónico de cuenta de transacciones incorrecto."
"YYYY","AAAA"
"Year","Año"
"Yes","Sí"
"You are currently not subscribed to any newsletter.","Actualmente no está suscrito a ningún boletín informativo."
"You are currently not subscribed to our newsletter.","Actualmente no está suscrito a nuestro boletín informativo."
"You are currently subscribed to 'General Subscription'.","Actualmente está suscrito a 'Suscripción General'."
"You are currently subscribed to our newsletter.","Actualmente está subscrito a nuestro boletín informativo."
"You are now logged out","Ha cerrado su sesión"
"You have logged out and will be redirected to our homepage in 5 seconds.","Ha cerrado su sesión y será redirigido a nuestra página principal en 5 segundos."
"You have no additional address entries in your address book.","No tiene anotaciones adicionales de dirección en su libreta de direcciones."
"You have no additional entries in your address book.","No tiene anotaciones adicionales en su libreta de direcciones."
"You have no default billing address in your address book.","No tiene ninguna dirección de facturación por defecto en su libreta de direcciones."
"You have no default entries in your address book.","No tiene ninguna entrada por defecto en su libreta de direcciones."
"You have no default shipping address in your address book.","No tiene ninguna dirección de envío por defecto en su libreta de direcciones."
"You have not set a default billing address.","No ha establecido una dirección de facturación predeterminada."
"You have not set a default shipping address.","No ha establecido una dirección de envío predeterminada."
"You have placed no orders yet.","Aún no ha realizado ningún pedido."
"You have placed no products yet.","Aún no ha colocado ningún artículo."
"You will be charged tax.","Se le cargarán los impuestos."
"You will not be charged tax.","No se le cargarán los impuestos."
"Your Tax ID cannot be validated.","Su ID de impuestos no se ha podido validar."
"Your VAT ID was successfully validated.","Su ID de IVA se ha validado correctamente."
"Your account balance is: %s","El balance de su cuenta es: %s"
"Your password has been updated.","Su contraseña ha sido modificada."
"Your password reset link has expired.","Su vínculo para reinicializar la contraseña ha caducado."
"ZIP","C.P."
"ZIP/Post Code","Código postal"
"Zip/Postal Code","Código postal"
"n/a","n/d"
"or","o"
"register","Registrarse"
