" in rows: "," en filas: "
"%s file does not exists or is not readable","El archivo %s no existe o no es legible"
"-- Please Select --","-- Por favor, seleccione --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","El adaptador debe ser una instancia de Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","El objeto adaptador debe ser un ejemplo de %s"
"Adapter type must be a non empty string","El tipo de adaptador debe ser una cadena no vacía"
"Append Complex Data","Adjuntar datos complejos"
"Attribute Code","Código de atributo"
"Attribute Label","Etiqueta de atributo"
"Attribute does not has options, so filtering is impossible","El atributo no tiene opciones, por lo que el filtrado es imposible"
"Begin data validation","Inicie la validación de los datos."
"Begin export of %s","Comenzar la exportación de %s"
"Begin import of ""%s"" with ""%s"" behavior","Comenzar la importación de ""%s"" con comportamiento ""%s"""
"CSV","CSV"
"Can not determine attribute filter type","No se puede determinar el tipo de filtro de atributos"
"Can not find required columns: ","No se pueden encontrar las columnas solicitadas: "
"Can not find required columns: %s","No se pueden encontrar las columnas solicitadas: %s"
"Can not get autoincrement value","No se puede obtener el valor de incremento automático"
"Cannot get autoincrement value","No se puede obtener el valor de incremento automático"
"Check Data","Verificar los datos"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Filas revisadas: %d, entidades revisadas: %d, filas inválidas: %d, errores totales: %d"
"Column names have duplicates","Los nombres de columna tienen duplicados"
"Column names is empty or is not an array","Nombres de columna está vacío o no es una matriz"
"Column names: ""%s"" are invalid","Nombres de comlumna: ""%s"" no son válidos"
"Continue","Continuar"
"Customers","Clientes"
"Data is invalid or file is not uploaded","Los datos son incorrectos o el archivo no está cargado."
"Delete Entities","Borrar Entidades"
"Destination directory is not writable","No se puede escribir en el directorio de destino"
"Destination file is not writable","No se puede escribir en el archivo de destino"
"Destination file path must be a string","La ruta del archivo de destino debe ser una cadena"
"Disabling this setting can increase security risk.","Deshabilitar esta configuración puede aumentar el riesgo de seguridad."
"Done import data validation","Validación de los datos de importación completada"
"Duplicate Unique Attribute for '%s'","Atributo único '%s' está duplicado."
"Entity Attributes","Tipo de atributos"
"Entity Type","Tipo de datos"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","El objeto adaptador de entidad debe ser una instancia de Mage_ImportExport_Model_Export_Entity_Abstract sein."
"Entity adapter object must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","El objeto adaptador de entidad debe ser una instancia de Mage_ImportExport_Model_Export_Entity_Abstract sein."
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","El objeto adaptador de entidad debe ser una instancia de Mage_ImportExport_Model_Import_Entity_Abstract sein."
"Entity is unknown","Entidad desconocida"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","El modelo de tipo de entidad debe ser una instancia de Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","El modelo de tipo de entidad debe ser una instancia de Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Error en la estructura de datos: hay conductas mezcladas"
"Error in data structure: entity codes are mixed","Error en la estructura de datos: hay códigos de entidad mezclados"
"Errors limit (%d) reached. Please fix errors and re-upload file","Límite de errores (%d) superado. Por favor, corrige los errores y vuelve a subir el archivo"
"Escape CSV fields","Salga de los campos CSV"
"Export","Exportar"
"Export FAQ","Export FAQ"
"Export File Format","Exportar el formato de archivo"
"Export Settings","Exportar la configuración"
"Export has been done.","Se ha completado la exportación."
"Exported %s rows.","Se han exportado %s filas."
"FAQ","FAQ"
"File does not contain data.","El archivo no contiene datos."
"File does not contain data. Please upload another one","El archivo no contiene datos. Por favor cargue otro distinto."
"File format is unknown","Formato de archivo desconocido"
"File is partially valid, but import is not possible","El archivo es parcialmente válido, pero no es posible importar."
"File is totally invalid. Please fix errors and re-upload file","El archivo es totalmente inválido. Por favor corrija los errores y vuelva a cargar el archivo."
"File is valid! To start import process press ""Import"" button","El archivo no es correcto. Para empezar el proceso de importación pulse el botón ""Importar""."
"File is valid, but import is not possible","El archivo es válido, pero importar no es posible."
"File was not uploaded","No se ha cargado el archivo"
"Filter","Filtrar"
"From","Desde"
"Header column names already set","Nombres de los encabezados de las columnas ya fijados"
"Import","Importar"
"Import / Export FAQ (Frequently Asked Questions)","Importar / Exportar FAQ (Preguntas más frecuentes)"
"Import Behavior","Importar comportamiento"
"Import CSV","Importar CSV"
"Import FAQ","Importar FAQ"
"Import Settings","Importar configuración"
"Import has been done successfuly.","Se ha completado correctamente la importación."
"Import successfully done.","Importación realizada correctamente."
"Import/Export","Importar/Exportar"
"In/Out","In/Out"
"Input entity code is not equal to entity adapter code","El código de la entidad de entrada no es igual al código adaptador de la entidad"
"Invalid entity","Entidad no válida"
"Invalid entity model","Modelo de entidad inválido"
"Invalid file format","Formato de archivo no válido"
"Invalid parameters","Parámetros no válidos"
"Invalid seek position","Posición de búsqueda no válida"
"Invalid value for '%s'","Valor inválido para '%s'"
"Invalid value for '%s' column","Valor inválido para la columna '%s'"
"No filter data provided","No se han proporcionado filtros de datos"
"No source specified","Ninguna fuente especificada"
"No valid data sent","Los datos enviados no son válidos"
"No writer specified","Ningún escritor especificado"
"Node does not has model token tag","El nodo no tiene una etiqueta de señal modelo"
"Not implemented yet","Aún no implementado"
"Page size for import configurable products","Tamaño de página para importar productos configurables"
"Please fix errors and re-upload file","Por favor, corrija los errores y vuelva a cargar el archivo."
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Solucione los errores y vuelva a cargar el archivo, o pulse el botón ""Importar"" para omitir las filas con errores."
"Products","Productos"
"Replace Existing Complex Data","Reemplazar datos complejo existente"
"Select File to Import","Seleccione archivo para importar"
"Skip","Omitir"
"Some other FAQ","Algunas otras preguntas frecuentes"
"Source file moving failed","Fallo al mover el archivo de origen"
"Source file path must be a string","La ruta del archivo de origen debe ser una cadena"
"Source is not set","No se ha definido el origen"
"Status","Progreso"
"System busy","Sistema ocupado"
"There are no product types available for export","No hay tipos de artículos disponibles para la exportación"
"There is no data for export","No hay datos para exportar."
"This option will be ignore if it set less than 1.","Esta opción será ignorada si establece menos de 1."
"To","A"
"Total size of uploadable files must not exceed %s","El tamaño total de los archivos a cargar no puede exceder %s"
"Unknown attribute filter type","Tipo de filtro de atributo desconocido"
"Uploaded file has no extension","El archivo cargado no tiene extensión"
"Validation Results","Resultados de la validación"
"Validation finished successfully","La validación ha acabado correctamente."
"in rows","en filas"
"in rows:","en filas:"
