" Copy","Copia"
"Action","Acción"
"Add New Template","Nueva plantilla"
"Add to Queue","Añadir a la cola"
"Allow Guest Subscription","Permitir visitantes a subscribirse"
"An error occurred while saving your subscription.","Se ha producido un error al guardar su suscripción."
"Are you sure that you want to delete this template?","¿Realmente quiere borrar esta plantilla?"
"Are you sure that you want to strip all tags?","¿Realmente quiere desaplicar todas las etiquetas?"
"Back","Atrás"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Cannot mark as received subscriber.","No se puede marcar como suscriptor recibido."
"Confirmation Email Sender","Remitente del correo electrónico de confirmación"
"Confirmation Email Template","Plantilla del correo electrónico de confirmación"
"Confirmation request has been sent.","La solicitud de confirmación ha sido enviada."
"Convert to Plain Text","Convertir a texto sin formato"
"Create Newsletter Template","Crear plantilla para el boletín de informativo"
"Customer","Cliente"
"Customer First Name","Nombre del cliente"
"Customer Last Name","Apellido del cliente"
"Customer Middle Name","Primer apellido del cliente"
"Customer My Account Newsletter Subscriptions","Cliente ""Mi cuenta"" Suscripciones al boletín informativo"
"Date Added","Fecha añadida"
"Date Updated","Fecha actualizada"
"Delete","Eliminar"
"Delete Selected Problems","Eliminar problemas seleccionados"
"Delete Template","Eliminar plantilla"
"Do you really want to cancel the queue?","¿Realmente quiere cancelar la cola?"
"Duplicate template code.","Duplicado del código de la plantilla."
"Edit Newsletter","Editar el boletín informativo"
"Edit Newsletter Template","Editar la plantilla para el boletín informativo"
"Edit Queue","Editar la cola de tareas"
"Edit Template","Editar la plantilla"
"Email","Correo electrónico"
"Enter Your Email","Ingrese su correo electrónico"
"Enter your email address","Ingrese su dirección de correo electrónico"
"Error Code","Código de error"
"Error Text","Texto de error"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Siga este enlace para anular su suscripción <!-- Esta etiqueta es para el enlace de anulación--><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Visitante"
"ID","ID"
"Invalid queue selected.","La cola seleccionada es inválida."
"Invalid subscription ID.","El ID de la suscripción es inválido."
"Invalid subscription confirmation code.","Código de confirmación de suscripción inválido."
"Message","Mensaje"
"Need to Confirm","Debe confirmar"
"New Newsletter Template","Nueva plantilla para el boletín informativo"
"New Template","Nueva plantilla"
"Newsletter","Boletín informativo"
"Newsletter Message Preview","Vista previa del boletín informativo"
"Newsletter Problem Reports","Informes de problemas del boletín informativo"
"Newsletter Queue","Cola del boletín informativo"
"Newsletter Section","Boletín informativo"
"Newsletter Sign-up:","Inscripción en el boletín:"
"Newsletter Styles","Estilos del boletín informativo"
"Newsletter Subscribers","Suscriptores del boletín informativo"
"Newsletter Subscription","Suscripción al boletín informativo"
"Newsletter Subscription Form Before","Formulario de suscripción al boletín antes"
"Newsletter Subscriptions","Suscripciones al boletín informativo"
"Newsletter Templates","Plantillas del boletín informativo"
"Newsletter subscription confirmation","Confirmación de la suscripción al boletín informativo"
"Newsletter subscription success","Ha suscrito con éxito nuestro boletín informativo"
"Newsletter unsubscription success","Ha cancelado con éxito su suscripción al boletín informativo"
"No Templates Found","No se encontraron plantillas"
"No problems found.","No se encontraron problemas."
"No subscribers selected.","No se seleccionaron suscriptores."
"Not Activated","No activado"
"Not Sent","No enviado"
"Pause","Pausa"
"Paused","En pausa"
"Please enter a valid email address.","Por favor, ingrese una dirección de correo electrónico válida."
"Please enter new template name","Por favor, ingrese un nuevo nombre de plantilla"
"Please refer to exeption.log","Por favor, véase el el archivo exeption.log"
"Please select subscriber(s)","Por favor, seleccione suscriptor(es)"
"Preview","Vista previa"
"Preview Template","Vista previa de la plantilla"
"Processed","Procesado"
"Queue Date Start","Fecha de inicio de la cola de tareas"
"Queue Finish","Tareas finalizadas"
"Queue Information","Información de la cola de tareas"
"Queue Newsletter...","Boletín informativo en cola..."
"Queue Start","Inicio de la cola de tareas"
"Queue Subject","Asunto de la cola de tareas"
"Recipients","Recipientes"
"Reset","Restablecer"
"Resume","Reanudar"
"Return HTML Version","Devolver versión HTML"
"Save As","Guardar como"
"Save Newsletter","Guardar el boletín informativo"
"Save Template","Guardar la plantilla"
"Save and Resume","Guardar y reanudar"
"Selected problem subscribers have been unsubscribed.","Se ha cancelado la suscripción de los suscriptores con problemas."
"Selected problems have been deleted.","Se han borrado los problemas seleccionados."
"Sender","Remitente"
"Sender Email","Correo electrónico del remitente"
"Sender Name","Nombre del remitente"
"Sending","Enviando"
"Sent","Enviado"
"Sign Up for Our Newsletter:","Suscríbase al boletín informativo:"
"Sign up for our newsletter","Suscríbase al boletín informativo:"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Lo sentimos pero el administrador denegó la suscripción para visitantes. Por favor, <a href=""%s"">regístrense</a>."
"Start","Comenzar"
"Status","Estado"
"Store","Tienda"
"Store View","Vista de tienda"
"Subject","Asunto"
"Submit","Enviar"
"Subscribe","Suscribirse"
"Subscribed","Suscrito"
"Subscriber","Suscriptor"
"Subscribers","Suscriptores"
"Subscribers From","Suscriptores de"
"Subscription Options","Opciones de suscripción"
"Success Email Sender","Remitente de correo electrónico para operación exitosa"
"Success Email Template","Plantilla de correo electrónico para operación exitosa"
"Template Content","Contenido de la plantilla"
"Template Information","Información de la plantilla"
"Template Name","Nombre de la plantilla"
"Template Styles","Estilos de plantilla"
"Template Subject","Asunto de la plantilla"
"Template Type","Tipo de plantilla"
"Thank you for your subscription.","Gracias por suscribirse."
"The subscription has been removed.","La suscripción ha sido eliminada."
"The subscription has been saved.","La suscripción ha sido guardado."
"There was a problem with the subscription.","Hubo un problema con la suscripción."
"There was a problem with the subscription: %s","Hubo un problema con la suscripción: %s"
"There was a problem with the un-subscription.","Hubo un problema con la cancelación de la suscripción."
"This email address is already assigned to another user.","Esta dirección de correo ya se asignó a otro usuario."
"Type","Tipo"
"Unconfirmed","Sin confirmar"
"Unsubscribe","Desuscribirse"
"Unsubscribe Selected","Cancelar las suscripciones seleccionadas"
"Unsubscribed","Desuscrito"
"Unsubscription Email Sender","Remitente de correo electrónico para cancelar la suscripción"
"Unsubscription Email Template","Plantilla de correo electrónico para cancelar la suscripción"
"View Newsletter","Ver boletín informativo"
"Website","Sitio web"
"You have been unsubscribed.","Ha cancelado su suscripción."
"Your subscription has been confirmed.","Su suscripción ha sido confirmada."
