" was not delivered nor scanned","no ha sido entregado ni escaneado"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Por Pedido"" permite una única tarifa de gastos de manipulación para todo el pedido. ""Por Paquete"" permite una tarifa de gastos de gestión individual para cada paquete."
"1 Day Freight","Un día de flete"
"2 Day","Dos días"
"2 Day AM","Segundo día por la mañana"
"2 Day Freight","Dos días de flete"
"2Day","Dos días"
"2nd Day Air","2º día en avión"
"2nd Day Air AM","2º día en avión por la mañana"
"2nd Day Air AM Letter","2º día por correo aéreo por la mañana"
"2nd Day Air Letter","2º día por correo aéreo"
"3 Day Freight","Tres días de flete"
"3 Day Select","Seleccione 3 días"
"Access ID","ID de acceso"
"Access License Number","Número de licencia de acceso"
"Account ID","ID de cuenta"
"Account Number","Número de cuenta"
"Additional Protection Configuration Value","Valor de configuración de protección adicional"
"Additional Protection Enabled","Protección adicional habilitada"
"Additional Protection Min Subtotal","Mínimo subtotal protección adicional"
"Additional Protection Value","Valor de protección adicional"
"Additional Protection Value Rounding Method","Método de redondeo del valor de protección adicional"
"Adult","Adulto"
"Adult Signature Required","Se requiere firma de adulto"
"Allowed Methods","Métodos permitidos"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Permite dividir el peso del pedido total en piezas pequeñas si sobrepasa los %s %s para asegurar un cálculo exacto de los gastos de envío."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Permite dividir el peso del pedido total en piezas pequeñas si sobrepasa los 70 kg para asegurar un cálculo exacto de los gastos de envío."
"Bound Printed Matter","Impresos encuadernado"
"Break bulk economy","Fraccionar economía a granel"
"Break bulk express","Fraccionar envío urgente a granel"
"Business Service Center","Centro de servicios comerciales"
"Calculate Handling Fee","Calcular costo de transporte"
"Canada Standard","Canadá estándar"
"Cannot identify measure unit for %s","No se puede identificar la unidad de medida para %s."
"Cannot identify weight unit for %s","No se puede identificar la unidad de peso para %s."
"Cannot retrieve shipping rates","Imposible obtener las tarifas de transporte."
"Centimeters","Centímetros"
"Commercial","Comercial"
"Configuration","Configuración"
"Container","Contenedor"
"Content Type","Tipo de contenido"
"Customer Packaging","Embalado por el cliente"
"Customer Supplied Package","Paquete suministrado por el cliente"
"Customer services","Atención al cliente"
"DHL","DHL"
"DHL (Deprecated)","DHL (obsoleto)"
"DHL service is not available at %s date","DHL service is not available at %s date"
"Debug","Depurar"
"Default Package Height","Altura del paquete por defecto"
"Default Package Length","Longitud del paquete por defecto"
"Default Package Width","Anchura del paquete por defecto"
"Delivered","Entregado"
"Delivery Confirmation","Confirmación de envío"
"Depth","Anchura"
"Destination Type","Tipo de destino"
"Destination facility code is empty","El código de la instalación de destino está vacío"
"Development","Nueva situación"
"Direct","Directo"
"Displayed Error Message","Mensaje de error mostrado"
"Divide Order Weight","Dividir el peso del pedido"
"Documents","Documentos"
"Domestic Shipment Days","Días para envíos nacionales"
"Domestic economy select","Selección de economía doméstica"
"Domestic express","Envío urgente doméstico"
"Drop Box","Buzón"
"Dropoff","De entrega"
"Easy shop","Compra fácil"
"Economy select","Selección de economía"
"Empty response","Respuesta vacía"
"Enable Negotiated Rates","Habilitar tarifas negociadas"
"Enabled for Checkout","Habilitado para el proceso de pago"
"Enables/Disables SSL verification of Magento server by UPS.","Activa/desactiva la verificación SSL del servidor Magento por UPS"
"Error #%s : %s","Error nº %s : %s"
"Error #%s : %s (%s)","Error nº %s : %s (%s)"
"Error #%s: %s","Error nº %s: %s"
"Europack","Europack"
"Europe First Priority","Primera prioridad europea"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","Tipo de cambio %s (Moneda Base) -> %s no encontrado. Método DHL %s omitido"
"Express","Urgente"
"Express 10:30","Envío urgente hasta las 10:30 horas"
"Express 10:30 AM","Envío urgente hasta las 10:30 horas a la mañana"
"Express 12:00","Envío urgente hasta las 12:00 horas"
"Express 9:00","Envío urgente hasta las 9:00 horas"
"Express Mail","Envío urgente"
"Express Saturday","Envío urgente sábado"
"Express Saver","Envío urgente garantizada"
"Express easy","Envío urgente fácil"
"Express envelope","Envío urgente sobre"
"Express worldwide","Envío urgente internacional"
"Failed to parse xml document: %s","Fallo en la conversión del documento xml: %s"
"FedEx","FedEx"
"FedEx 10kg Box","Caja de 10 Kg. de FedEx"
"FedEx 25kg Box","Caja de 25 Kg. de FedEx"
"FedEx Box","Caja de FedEx"
"FedEx Envelope","Sobre de FedEx"
"FedEx Pak","Paquete de FedEx"
"FedEx Tube","Tubo de FedEx"
"First Overnight","Primera clase nocturno"
"First-Class","Primera clase"
"First-Class Mail International Large Envelope","First-Class Mail International Sobre grande"
"First-Class Mail International Letter","First-Class Mail International Letter"
"First-Class Mail International Postcard","First-Class Mail International Postcard"
"First-Class Mail Large Envelope","First-Class Mail Sobre grande"
"First-Class Mail Large Postcards","First-Class Mail Postal grande"
"First-Class Mail Letter","First-Class Mail Carta"
"First-Class Mail Parcel","First-Class Mail Paquete"
"First-Class Mail Postcards","First-Class Mail Postcards"
"First-Class Package International Service","First-Class Package International Service"
"First-Class Package Service","First-Class Package Service"
"First-Class Package Service Hold For Pickup","First-Class Package Service Hold For Pickup"
"Flat","Tarifa plana"
"Flat-Rate Box","Caja de tarifa plana"
"Flat-Rate Envelope","Sobre de tarifa plana"
"Free Method","Método gratuito"
"Free Shipping with Minimum Order Amount","Envío gratis con un importe mínimo de pedido"
"Freight","Mercancías"
"Freight worldwide","Transporte internacional"
"Gateway URL","URL de la pasarela"
"Gateway XML URL","URL XML de la pasarela"
"Gift","Regalo"
"Girth","Circunferencia"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Global Express Guaranteed Document"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular"
"Globalmail business","Negocio de correo global"
"Ground","Vía terrestre"
"Ground Commercial","Vía terrestre Comercial"
"Ground Residential","Vía terrestre Residencial"
"Handling Applied","Gastos de tramitación aplicados"
"Handling Fee","Gastos de tramitación"
"Height","Altura"
"Height, width and length should be equal or greater than %s","Altura, anchura y longitud deberían ser iguales o mayores que %s"
"Home Delivery","Entrega a domicilio"
"Hub ID","ID de hub"
"Inches","Centímetros"
"Indirect","Indirecto"
"International Economy","Internacional Económico"
"International Express","Internacional Urgente"
"International First","Internacional Primera"
"International Ground","Internacional Vía terrestre"
"International Priority","Internacional Prioritario"
"International Shipment Days","Internacional Días de envio"
"Intl Economy Freight","Flete internacional económico"
"Intl Priority Freight","Flete de prioridad internacional"
"Jetline","Jetline"
"Jumbo box","Buzón Jumbo"
"Key","Clave"
"Kilograms","Kilogramos"
"Large","Grande"
"Large Express Box","Gran paquete urgente"
"Length","Longitud"
"Letter","Carta"
"Library","Biblioteca"
"Library Mail","Library Mail"
"Library Mail Parcel","Library Mail Parcel"
"Live","Vivo"
"Machinable","Manufacturable"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso máximo del paquete (Por favor, consulte a su transportista para la carga máxima soportada)"
"Media Mail","Correo de medios de comunicación"
"Media Mail Parcel","Media Mail Parcel"
"Medical express","Envío médico urgente"
"Medium Express Box","Paquete mediano urgente"
"Merchandise","Mercancía"
"Meter Number","Número de contador"
"Minimum Order Amount for Free Shipping","Importe mínimo del pedido para envíos gratuitos"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Peso mínimo de paquete (Por favor, consulte a su transportista para la carga mínima soportada)"
"Mode","Modalidad"
"National Freight","Mercancía nacional"
"Next Afternoon","Mañana por la tarde"
"Next Day Air","Transporte aéreo al día siguiente"
"Next Day Air Early AM","Transporte aéreo al día siguiente a primera hora de la mañana"
"Next Day Air Early AM Letter","Carta por transporte aéreo al día siguiente a primera hora de la mañana"
"Next Day Air Intra (Puerto Rico)","Transporte aéreo interno al día siguiente (Puerto Rico)"
"Next Day Air Letter","Carta por transporte aéreo al día siguiente"
"Next Day Air Saver","Transporte aéreo al día siguiente garantizada"
"Next Day Air Saver Letter","Transporte aéreo al día siguiente Carta garantizada"
"No","No"
"No packages for request","No hay paquetes que solicitar"
"Non Documents","No documentos"
"Non documents","No documentos"
"Non-rectangular","No rectangular"
"None","Ninguno"
"Not Required","No requerido"
"Order","Pedido"
"Order #%s","Pedido nº %s"
"Origin of the Shipment","Origen del envío"
"Origin serviceAreaCode is missing","Falta el código de área del servicio de origen"
"Other","Otra"
"Others","Otros"
"Oversize","Sobredimensionado"
"PAK","PAK"
"Package","Paquete"
"Package Description","Descripción del paquete"
"Package content is missing","Falta el contenido del empaquetado"
"Package ready time after order submission (in hours)","El tiempo de despliegue de la colocación de la orden (en horas)"
"Packages Request Type","Tipo de solicitud de paquetes"
"Packaging","Embalaje"
"Pallet","Palé"
"Parcel","Paquete"
"Parcel Post","Servicio de paquetes postales"
"Password","Contraseña"
"Pickup Method","Método de recogida"
"Piece Id barcode is missing","Falta el código de barras de identificación de la pieza"
"Piece number information is missing","Falta la información del número de la pieza"
"Please make sure to use only digits here. No dashes are allowed.","Por favor, asegúrese de introducir solamente dígitos. No se pueden utilizar guiones."
"Please, specify origin country","Por favor, indicar país de origen"
"Pounds","Libras"
"Priority Mail","Correo urgente"
"Priority Mail Express","Priority Mail Urgente"
"Priority Mail Express Flat Rate Boxes","Priority Mail Express Flat Rate Boxes"
"Priority Mail Express Flat Rate Boxes Hold For Pickup","Priority Mail Express Flat Rate Boxes recolección"
"Priority Mail Express Flat Rate Envelope","Priority Mail Express Flat Rate sobre"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Priority Mail Express Flat Rate sobre recolección"
"Priority Mail Express Hold For Pickup","Priority Mail Express recolección"
"Priority Mail Express International","Priority Mail Express International"
"Priority Mail Express International Flat Rate Boxes","Priority Mail Express International Flat Rate Boxes"
"Priority Mail Express International Flat Rate Envelope","Priority Mail Express International Flat Rate sobre"
"Priority Mail Express International Legal Flat Rate Envelope","Priority Mail Express International Legal Flat Rate sobre"
"Priority Mail Express International Padded Flat Rate Envelope","Priority Mail Express International Padded Flat Rate sobre"
"Priority Mail Express Legal Flat Rate Envelope","Priority Mail Express Legal Flat Rate sobre"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Priority Mail Express Legal Flat Rate sobre recolección"
"Priority Mail Express Padded Flat Rate Envelope","Priority Mail Express Padded Flat Rate sobre"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Priority Mail Express Padded Flat Rate sobre recolección"
"Priority Mail Express Sunday/Holiday Delivery","Priority Mail Express Sunday/Holiday Delivery"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Flat Rate sobre"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate sobre"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate sobre"
"Priority Mail Flat Rate Envelope","Priority Mail Flat Rate sobre"
"Priority Mail Flat Rate Envelope Hold For Pickup","Priority Mail Flat Rate sobre recolección"
"Priority Mail Gift Card Flat Rate Envelope","Priority Mail Gift Card Flat Rate sobre"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Priority Mail Gift Card Flat Rate sobre recolección"
"Priority Mail Hold For Pickup","Priority Mail recolección"
"Priority Mail International","Priority Mail International"
"Priority Mail International DVD Flat Rate priced box","Priority Mail International DVD Flat Rate priced box"
"Priority Mail International Flat Rate Envelope","Priority Mail International Flat Rate sobre"
"Priority Mail International Gift Card Flat Rate Envelope","Priority Mail International Gift Card Flat Rate sobre"
"Priority Mail International Large Flat Rate Box","Priority Mail International Large Flat Rate Box"
"Priority Mail International Large Video Flat Rate priced box","Priority Mail International Large Video Flat Rate priced box"
"Priority Mail International Legal Flat Rate Envelope","Priority Mail International Legal Flat Rate sobre"
"Priority Mail International Medium Flat Rate Box","Priority Mail International Medium Flat Rate Box"
"Priority Mail International Padded Flat Rate Envelope","Priority Mail International Padded Flat Rate sobre"
"Priority Mail International Small Flat Rate Box","Priority Mail International Small Flat Rate Box"
"Priority Mail International Small Flat Rate Envelope","Priority Mail International Small Flat Rate sobre"
"Priority Mail International Window Flat Rate Envelope","Priority Mail International Window Flat Rate sobre"
"Priority Mail Large Flat Rate Box","Priority Mail Large Flat Rate Box"
"Priority Mail Large Flat Rate Box Hold For Pickup","Priority Mail Large Flat Rate Box recolección"
"Priority Mail Legal Flat Rate Envelope","Priority Mail Legal Flat Rate sobre"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Priority Mail Legal Flat Rate sobre recolección"
"Priority Mail Medium Flat Rate Box","Priority Mail Medium Flat Rate Box"
"Priority Mail Medium Flat Rate Box Hold For Pickup","Priority Mail Medium Flat Rate Box recolección"
"Priority Mail Padded Flat Rate Envelope","Priority Mail Padded Flat Rate sobre"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Priority Mail Padded Flat Rate sobre recolección"
"Priority Mail Regional Rate Box A","Priority Mail Regional Rate Box A"
"Priority Mail Regional Rate Box A Hold For Pickup","Priority Mail Regional Rate Box A recolección"
"Priority Mail Regional Rate Box B","Priority Mail Regional Rate Box B"
"Priority Mail Regional Rate Box B Hold For Pickup","Priority Mail Regional Rate Box B recolección"
"Priority Mail Regional Rate Box C","Priority Mail Regional Rate Box C"
"Priority Mail Regional Rate Box C Hold For Pickup","Priority Mail Regional Rate Box C recolección"
"Priority Mail Small Flat Rate Box","Priority Mail Small Flat Rate Box"
"Priority Mail Small Flat Rate Box Hold For Pickup","Priority Mail Small Flat Rate Box recolección"
"Priority Mail Small Flat Rate Envelope","Priority Mail Small Flat Rate sobre"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Priority Mail Small Flat Rate sobre recolección"
"Priority Mail Window Flat Rate Envelope","Priority Mail Window Flat Rate sobre"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Priority Mail Window Flat Rate sobre recolección"
"Priority Overnight","Prioridad durante la noche"
"Product content code is invalid","El código de contenido del producto no es válido"
"Product name is missing","Falta el nombre del producto"
"Ready time","Tiempo de preparación "
"Receiver","Destinatario"
"Rectangular","Rectangular"
"Reference code is missing","Falta el código de referencia"
"Regular","Ordinario"
"Regular Pickup","Recogida ordinaria"
"Request Courier","Solicitar servicio de mensajería"
"Required","Requerido"
"Required for negotiated rates; 6-character UPS.","Requerido para tarifas negociadas; UPS de 6 caracteres."
"Residential","Residencial"
"Residential Delivery","Entrega residencial"
"Response is in the wrong format","La respuesta está en el formato incorrecto"
"Return","Devolución"
"Round","Redondo"
"Routing barcode is missing","Falta el código de barras de enrutamiento"
"Same day","El mismo día"
"Sample","Ejemplo"
"Sandbox Mode","Modo de prueba"
"Second Day Service","Servicio de segundo día"
"Secure Gateway URL","URL de Gateway seguro"
"Secureline","Secureline"
"Sender","Remitente"
"Sender city info is missing","Falta la información de la ciudad del remitente"
"Sender contact name is missing","Falta el nombre de contacto del remitente"
"Sender country info is missing","Falta la información del país del remitente"
"Service type does not match","El tipo de servicio no coincide"
"Ship to Applicable Countries","Enviar a países aplicables"
"Ship to Specific Countries","Enviar a países específicos"
"Shipment Contains Hazardous Materials","Envío contiene materiales peligrosos"
"Shipment Dutiable","Sujeto a derechos de aduana"
"Shipment Duty Payment Type","Tipo de pago de impuestos de envío"
"Shipment Type","Tipo de envío"
"Shipment is not available.","El envío no está disponible."
"Shipment picked up","Envío recogido"
"Shipper Number","Número del transportista"
"Shipping Accept XML URL","URL XML de admisión del envío"
"Shipping Confirm XML URL","URL XML de confirmación del envío"
"Shipping Key","Clave de envío"
"Shipping Key (International)","Clave de envío (internacional)"
"Show Method if Not Applicable","Mostrar el método aunque no sea aplicable"
"Signature Required","Firma requerida"
"Size","Tamaño"
"Small Express Box","Caja pequeña urgente"
"Smart Post","Smart Post"
"Sort Order","Ordenación"
"Specific","Específico"
"Sprintline","Sprintline"
"Standard Overnight","Estándar de un día para otro"
"Standard Post","Envío estándar"
"Station","Central"
"Subtotal","Subtotal"
"Subtotal With Discount","Subtotal con descuento"
"The field is applicable if the Smart Post method is selected.","El campo es aplicable si se selecciona el método de publicación inteligente."
"The response is in wrong format.","La respuesta tiene un formato incorrecto."
"There is no available method for selected shipping address.","No existe un método disponible para la dirección de envío seleccionada."
"There is no items in this order","No hay artículos en este pedido"
"Third Party","Terceras partes"
"Title","Título"
"To Lower","Al inferior"
"To Upper","Al superior"
"Tracking XML URL","Seguimiento de URL XML"
"UPS","UPS"
"UPS Expedited","UPS Acelerada"
"UPS Express","UPS Urgente"
"UPS Express Box","UPS Urgente Box"
"UPS Express Early A.M.","UPS Urgente Primera hora de la mañana"
"UPS Express Plus","UPS Urgente Plus"
"UPS Ground","UPS Vía terrestre"
"UPS Letter Envelope","UPS Sobre de carta"
"UPS Next Day Air","UPS Aéreo Entrega al día siguiente"
"UPS Next Day Air Early A.M.","UPS Aéreo Entrega al día siguiente a la primera hora de la mañana"
"UPS Next Day Air Saver","UPS Aéreo Entrega al día siguiente garantizada"
"UPS Saver","UPS garantizada"
"UPS Second Day Air","UPS Aéreo Entrega al final del segundo día laboral"
"UPS Second Day Air A.M.","UPS Aéreo Entrega en la mañana del segundo día laboral"
"UPS Standard","UPS Estándar"
"UPS Three-Day Select","UPS Entrega al final del tercer día laboral"
"UPS Today Dedicated Courrier","UPS Entrega en el día por mensajería dedicada"
"UPS Today Express","UPS Entrega en el día urgente"
"UPS Today Express Saver","UPS Entrega en el día urgente y garantizada"
"UPS Today Intercity","UPS Entrega en el día interurbana"
"UPS Today Standard","UPS Entrega en el día estándar"
"UPS Tube","UPS Tubo"
"UPS Type","UPS Tipo"
"UPS Worldwide 10 kilo","UPS Internacional 10 kilos"
"UPS Worldwide 25 kilo","UPS Internacional 25 kilos"
"UPS Worldwide Expedited","UPS Internacional expedido"
"UPS Worldwide Express","UPS Internacional Express"
"UPS Worldwide Express Plus","UPS Internacional Express Plus"
"UPS Worldwide Express PlusSM","UPS Internacional Express PlusSM"
"UPS Worldwide Saver","UPS Internacional garantizada"
"USPS","USPS"
"USPS GXG Envelopes","USPS GXG Sobres"
"Unable to retrieve tracking","No se puede recuperar el seguimiento."
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","Error desconocido"
"Used only when ""Additional Protection Value"" is set to ""Configuration"". Can contain only numeric amount.","Se usa sólo cuando el ""Valor de protección adicional"" está establecido en ""Configuración"". Sólo puede contener cantidades numéricas. "
"User ID","ID de usuario"
"Variable","Variable"
"Waybill barcode information is missing","Falta la información de albarán del código de barras"
"Weight Unit","Unidad de peso"
"Weight unit is invalid","La unidad de peso no es válida"
"Width","Ancho"
"Worldwide Expedited","Internacional Expedido"
"Worldwide Express","Internacional Urgente"
"Worldwide Express Letter","Internacional Urgente Carta"
"Worldwide Express Plus","Internacional Urgente Plus"
"Worldwide Express Plus Letter","Internacional Urgente Plus Carta"
"Worldwide Express Saver","Internacional Urgente garantizada"
"Wrong Content Type.","Tipo de contenido incorrecto."
"Wrong Region.","Región incorrecta."
"Yes","Sí"
"Your Packaging","Su embalaje"
"Zero shipping charge for '%s'","Cero gastos de envío para '%s'"
"cm","cm"
"inch","pulgada"
